wave,flux,sigma
3300.0000000000005,0.025637493461110744,0.1506058351226081
3311.0318870238752,0.1445303072460309,0.1477780043823335
3322.1006535769357,0.1516385061685811,0.14839406969623348
3333.2064229988164,-0.22250342820339372,0.1506338680256078
3344.349318964206,-0.6882428555309629,0.14833673246877507
3355.52946558699,-0.1455736638820982,0.14750428413138958
3366.7469873959726,0.13502650906718056,0.1450472993879077
3378.0020093362546,0.3966509801596638,0.13776154455664316
3389.2946567706267,0.16338992836303298,0.13786747070866948
3400.6250554809667,-0.04470202823099162,0.1324955545171166
3411.9933316696415,0.4422258819435189,0.12447077384034964
3423.3996119609133,0.026670430933772644,0.12620220393494078
3434.844023402349,0.08592808873893605,0.1268367610601604
3446.3266934662315,0.32855446284869017,0.12837102532941205
3457.847750050986,0.2057738432496247,0.12617512940938647
3469.4073214825994,0.04486366597304045,0.1251472097938568
3481.0055365160556,0.1913232047676255,0.11760095119358537
3492.6425243367635,0.3631817209211826,0.10732402221959303
3504.318414561997,0.2186675518268832,0.10283338393349316
3516.033337242342,0.3537762706892294,0.10338102836321264
3527.7874228631417,0.427175867632534,0.10697296958477485
3539.5808023459526,0.2769011194413973,0.10678588071153054
3551.4136070500026,0.1155471642660422,0.11022152382047225
3563.28596877365,0.23604098303227228,0.11403498460062937
3575.198019755855,0.12598594927015594,0.11263629181304145
3587.149892677652,0.3667431966811774,0.10218308624228775
3599.1417206636297,0.15356888834503707,0.09960919982185462
3611.173637283412,0.12680356949142282,0.10216762529625353
3623.2457765531435,0.29995246506758017,0.1030817222564793
3635.3582729369846,0.46588350308501203,0.1048572844780501
3647.511261348607,0.10561654086958251,0.11638759124491758
3659.7048771527016,0.14012721204894826,0.12030877125120841
3671.9392561664827,0.5262336054187001,0.11905616025944643
3684.2145346612006,0.3433836598458474,0.11467884841595762
3696.5308493636576,0.4636541712698261,0.11010337468542723
3708.8883374577335,0.4454660208359654,0.10892380332974634
3721.2871365859164,0.5334241133928521,0.10946321066292118
3733.7273848508326,0.5858599043364899,0.10768341032940308
3746.2092208167815,0.36695488284870725,0.10784634068045025
3758.7327835112833,0.40332557952850884,0.10915482216610535
3771.298212426627,0.212814846990402,0.11009110931234893
3783.9056475214256,0.3221359563924424,0.10456493213271306
3796.555229222173,0.38777028622113874,0.10278460710855394
3809.247098424805,0.36069609036934547,0.10169967199624735
3821.981396496276,0.35064595860621867,0.09861671248862475
3834.758265276125,0.35754419040095065,0.09853017349632369
3847.577847078064,0.26135165261553195,0.09789382420483804
3860.4402846915605,0.8113610128551537,0.09636105663433236
3873.3457213834213,0.5679016816122495,0.09478133728152244
3886.294300899397,0.4578201014504019,0.09379252338691582
3899.2861674657775,0.4233793699183368,0.09188696857751764
3912.3214657910025,0.571708982961094,0.08902624853077877
3925.4003410672735,0.443224386696073,0.0841053418012457
3938.5229389721653,0.6480919494568192,0.08534300354748384
3951.689405670252,0.6118433124227056,0.08875365363630806
3964.8998878147377,0.7089845971760802,0.08923563008770788
3978.154532549086,0.56207809177214,0.09042358943001871
3991.453487508664,0.46606974796045475,0.08926734963009796
4004.796900822377,0.5300042602246535,0.08844492074569642
4018.18492111433,0.4952205653674351,0.08821214092512203
4031.617697505474,0.6277198382717539,0.08837687368714153
4045.0953796152735,0.5445056234022716,0.08872794902113035
4058.618117563371,0.405898330696872,0.08929017268385776
4072.1860619712556,0.3915156200123563,0.08880273506066824
4085.799363963945,0.6240639319834989,0.08752359358805267
4099.458175171663,0.430116102487672,0.08749695638219858
4113.162647731542,0.20328962267742523,0.08766841458241255
4126.912934289301,0.3047295368979553,0.08726621089491794
4140.709188000954,0.4695615151466043,0.086637150917962
4154.551562534517,0.49432817733545664,0.08691831244351368
4168.440212071713,0.42079642634813996,0.08727240538741243
4182.3752913097,0.37307036607098554,0.08660168823672057
4196.356955462785,0.35508950930756333,0.08525956845341423
4210.385360264156,0.6008860250793603,0.08542089651552218
4224.460661967617,0.49702709626069874,0.08531563240754493
4238.583017349324,0.5636254559266742,0.08335724854933288
4252.752583709542,0.5181578559413302,0.08122844776997952
4266.969518874386,0.32897308489507504,0.08009273347478268
4281.233981197582,0.570551422826631,0.07909258197744122
4295.5461295622345,0.4471664800573273,0.07822744006722487
4309.906123382591,0.365152708722872,0.07857160451450315
4324.314122605823,0.36013247930400405,0.07991422948245022
4338.770287713807,0.5288565658366307,0.0787147318744568
4353.274779724901,0.3037867090923525,0.0771153074608597
4367.827760195754,0.3410523078254604,0.07725417508817879
4382.429391223097,0.3363705082527397,0.07766931689965874
4397.079835445547,0.26712981666502944,0.07684150052551816
4411.779256045427,0.31700810677165703,0.07618071179413648
4426.527816750571,0.35170233024497355,0.07493243995451856
4441.32568183616,0.31835033788832495,0.07257612684612956
4456.17301612654,0.29996827054245323,0.0736048577380309
4471.06998499707,0.2450420450140951,0.07561600869554617
4486.01675437596,0.23341922478716112,0.07587727137050818
4501.013490746111,0.17157044748720826,0.07604606159633141
4516.060361146975,0.34117170756650683,0.07795658779201525
4531.157533176423,0.4540086160277328,0.08054280079892703
4546.3051749926035,0.4622388146521895,0.0826170059003397
4561.503455315809,0.5005685862079529,0.08674864162320714
4576.752543430374,0.570355198124446,0.09090835478876644
4592.052609186547,0.6406082692500783,0.09710190988946274
4607.403823002376,0.8825295990460829,0.10341448356782075
4622.8063558656295,0.5260811090577693,0.1051035920470953
4638.260379335682,0.36223294380691407,0.10437571689031767
4653.766065545426,0.44437628450370664,0.09964861129345368
4669.323587203196,0.3062631482442011,0.08445327091145939
4684.933117594696,0.2721529964933426,0.08138225594370131
4700.594830584916,0.24162348250509647,0.08717276613570606
4716.308900620076,0.09000827303156947,0.11167059199535209
4732.075502729573,0.24857226366607427,0.09474943315495035
4747.894812527928,0.16364455956328236,0.08307294823288223
4763.767006216733,0.2158781421369947,0.07694994089412237
4779.692260586626,0.17175188191626933,0.07492016741201568
4795.67075301926,0.013366507366872627,0.07327612178051796
4811.702661489265,0.09561998820721422,0.07054768652686866
4827.7881645662455,0.2018750247734426,0.06777793571679823
4843.927441416762,0.1559560444636346,0.06524549648898866
4860.120671806329,0.05102004607289698,0.0611870994386042
4876.368036101411,0.1605136756918421,0.05778539760495524
4892.669715271444,0.30616652734652305,0.05568074198405781
4909.025890890844,0.2985521611560404,0.05412108309315091
4925.436745141022,0.308886196725532,0.05245804931296488
4941.902460812428,0.15726329342664108,0.05068242237693863
4958.423221306581,0.22477920793665399,0.04860509414312717
4974.999210638101,0.19929665455227602,0.047411723685689536
4991.630613436779,0.10497741019366082,0.046444310954612815
5008.317614949616,0.16730911560581108,0.04510110789686747
5025.060401042893,0.14467791084464904,0.044173071577853565
5041.8591582042445,0.12283830647332089,0.04327264580440988
5058.71407354473,0.16373112110558802,0.042328725897892584
5075.625334800925,0.1468525626946577,0.04242137303016391
5092.593130337,0.21779409464332328,0.043249946799999515
5109.61764914683,0.24313939122860923,0.0422709454299137
5126.699080856102,0.14869161598476416,0.03897546668328188
5143.837615724411,0.17870512417057166,0.03832426283490559
5161.033444647393,0.2128829318736803,0.03792352080329748
5178.286759158847,0.34506368069652404,0.03730444480232238
5195.59775143287,0.31303042420646954,0.03635160576282096
5212.966614285993,0.306953298232864,0.035884031340653974
5230.393541179339,0.3300505997552938,0.035304677872954764
5247.878726220767,0.4264155580632101,0.03441818249337927
5265.4223641670305,0.32133150294432244,0.03391817967493115
5283.024650425963,0.47786008814998676,0.033791460032910045
5300.685781058646,0.25937822761220647,0.033328489936234704
5318.405952781588,0.30693462337784966,0.03264770835240912
5336.185362968923,0.3496179963172791,0.032091985203041434
5354.024209654601,0.3262073045991862,0.03151893211278359
5371.922691534604,0.24468527742798996,0.031306721760033296
5389.88100796915,0.21158087143169255,0.030716786217360237
5407.899358984922,0.24514562376198834,0.029951603345837182
5425.977945277293,0.23070960158720863,0.029523351252522978
5444.116968212549,0.26851761155891646,0.0291426349112997
5462.316629830153,0.18918610969217958,0.028716988803736136
5480.577132844979,0.13924533662552468,0.028330185550239403
5498.89868064958,0.20783508192658678,0.028107331815256056
5517.28147731645,0.20581221539272473,0.027540574027046752
5535.725727600293,0.17786634804838308,0.026851130989243854
5554.23163694031,0.11600931770709078,0.026424496405255953
5572.79941146248,0.21449353290636666,0.02624075921389887
5591.429257981867,0.1732979477392845,0.025714034401621653
5610.121384004915,0.14521991236104828,0.02523662951389921
5628.875997731756,0.132949907577392,0.025005101985454553
5647.69330805854,0.125927559668865,0.024576755816168586
5666.573524579752,0.05872611709318411,0.024447589955271725
5685.516857590555,0.08006043230148516,0.024192880023426937
5704.523518089128,0.11088473227964357,0.02388903141794106
5723.593717779009,0.16093078670216585,0.0236165523436895
5742.727669071467,0.10112139853194023,0.023545791548800578
